NOMBRE,DESCRIPCION,IMAGEN
Inyeccion," Bombas de inyección, bombas de alta, inyectores, toberas y kits de empaquetaduras.",cat_com_Inyeccion.png
Limpiabrisas y motores," Motores para limpiabrisas, plumillas y brazos.",cat_com_Limpiabrisas.png
Llantas y Neumaticos," Llantas, válvulas, sellos y neumáticos para todo tipo de maquinaria.",cat_com_Llantas-Neumaticos.png
Lujos y Accesorios," Espejos, sillas, cinturones, plumillas y otros accesorios para la cabina.",cat_com_Lujos-Accesorios.png
Mangueras," Mangueras de aire, agua, combustible e hidráulicas, junto con racores, adaptadores y acoples.",cat_com_Mangueras.png
Martillos Hidraulicos," Martillos hidráulicos y sus componentes, como puntas, pistones, diafragmas y empaquetaduras.",cat_com_Martillos-Hidraulicos.png
Miscelaneos, Repuestos variados que no se ajustan directamente a otras categorías.,cat_com_Miscelaneos.png
Montacargas, Componentes y repuestos para montacargas de diferentes marcas.,cat_com_Montacargas.png
Motores de Acceleración y guayas, Motores de aceleración y guayas para sistemas de combustibles.,cat_com_Motores-Aceleracion.png
Orugas de Goma, Orugas de goma y trenes de rodaje para maquinaria de tamaño pequeño.,cat_com_Orugas-Goma.png
Peforadores, Componentes y repuestos para perforadoras.,cat_com_Perforadores.png
Piezas para Motor," Componentes para reparaciones de motor (overhaul), conjuntos, camisas, pistones, anillos, casquetería, válvulas y empaquetaduras.",cat_com_Piezas-Motor.png
Pines y Bujes para Articulaciones," Pasadores, bujes, sellos, arandelas de ajuste y guardapolvos para las articulaciones de la máquina.",cat_com_Pines-Bujes.png
Piñoneria Reductores Hidraulicos," Reductores, coronas, carriers, piñones solares y planetarios, arandelas de ajuste y canastillas para reductores hidráulicos.",cat_com_Pinoneria-Reductores.png
Puntas de Fresado, Bases y puntas para fresadoras.,cat_com_Puntas-Fresado.png
Radiadores y efriadores," Radiadores, enfriadores de aceite, ventiladores y núcleos.",cat_com_Radiadores.png
Rines, Rines y aros para llantas.,cat_com_Rines.png
Rodamientos," Rodamientos, balineras, balines y pistas.",cat_com_Rodamientos.png
Sellos Mecanicos," Sellos de aceite, sellos articulados y sellos de espejo.",cat_com_Sellos-Mecanicos.png
Sensores," Sensores electrónicos de presión, temperatura, nivel y otros.",cat_com_Sensores.png
Servotransmisiones," Piñonería, discos, platos y empaquetaduras para servotransmisiones.",cat_com_Servotransmisiones.png
Soportes de Vibracion, Soportes y amortiguadores para vibrocompactadores.,cat_com_Soportes-Vibracion.png
Tornilleria General," Tornillos y tuercas en general, disponibles por medida y referencia.",cat_com_Tornilleria-General.png
Tornilleria Herrameinta de corte, Tornillos y tuercas avellanados y de cabeza hexagonal para cuchillas de corte.,cat_com_Tornilleria-Corte.png
Tornilleria Motores," Tornillos y tuercas para culatas, bielas y bloques de motor.",cat_com_Tornilleria-Motores.png
Tornilleria Trenes de Rodaje," Tornillos y tuercas para zapatas, carriles, sprockets y tensores.",cat_com_Tornilleria-Rodaje.png
Transmision Trasera y Delantera," Piñonería para mandos finales, diferenciales, ejes, terminales y puntas de transmisión.",cat_com_Transmision.png
Tren de Rodaje," Cadenas, sprockets, carriles, tensoras y demás componentes para el tren de rodaje.",cat_com_Tren-Rodaje.png
Turbocargadores, Turbocargadores y sus componentes,cat_com_Turbocargadores.png
Ventiladores," Ventiladores, ventaviolas y sopladores.",cat_com_Ventiladores.png
Vidrios de Cabina," Vidrios, panorámicos y sellos para cabina.",cat_com_Vidrios-Cabina.png
